latitude,longitude
40.8258,-74.5764
40.2355,-73.0595
41.511,-74.5976
40.0136,-74.3352
40.6926,-74.1713
40.2385,-74.8565
40.7674,-73.8483
40.4945,-73.3949
39.8642,-73.2711
39.9285,-73.6299
40.8291,-74.5499
40.6324,-74.8234
40.6233,-73.8773
40.4346,-74.6584
40.5681,-74.6636
40.289,-74.4356
40.8472,-74.3298
40.6252,-74.0035
41.1273,-74.3822
40.5047,-74.375
40.1686,-74.5439
39.8562,-74.3951
40.6926,-74.1721
40.1731,-74.6376
41.0256,-74.3676
40.3887,-73.5932
40.83,-74.9319
40.7289,-73.8693
40.8859,-74.0387
40.5135,-74.4694
40.767,-73.8465
40.6901,-73.9485
41.402,-73.7795
41.7169,-73.8288
40.7766,-73.8765
40.5257,-73.6243
40.7911,-74.6572
41.5955,-74.7944
39.8114,-73.9015
40.6571,-73.7798
40.7772,-73.88
40.5239,-74.2724
40.7005,-74.5425
40.8556,-74.0635
40.32,-74.8135
40.6926,-74.1713
40.754,-74.2631
40.7733,-73.8792
41.0759,-73.1185
40.4269,-74.5268
40.3909,-74.9165
40.6375,-73.7454
40.7535,-74.0106
40.7821,-73.8284
39.881,-74.8607
40.5861,-73.7221
40.677,-74.1746
41.0143,-74.0354
40.2804,-73.6411
40.7911,-74.1519
40.7684,-73.8498
40.561,-74.0382
39.7761,-74.058
40.4203,-73.5885
40.7713,-73.8809
41.3912,-73.813
40.5915,-73.4742
40.0391,-73.8444
40.5689,-73.2451
39.9725,-74.8254
40.8396,-74.0807
39.8533,-74.0067
40.7052,-74.2671
39.8788,-73.5802
40.7786,-73.8788
39.7709,-74.5693
40.4994,-74.126
41.4461,-73.36
40.6932,-74.1645
40.9622,-73.6726
40.808,-74.3745
40.7762,-73.8731
40.4157,-73.5919
40.6253,-73.7194
40.7579,-74.1328
41.0814,-74.4872
41.3554,-73.8091
40.624,-72.9973
40.7755,-73.8728
41.3306,-74.3476
40.7035,-74.174
41.2132,-73.6803
40.5716,-74.8817
40.811,-74.0237
40.361,-74.2944
40.6914,-74.1677
40.5525,-73.8228
